n_apparies,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,var1,var2,cas,kruskal_h,kruskal_p,epsilon2_kruskal,anova_f,anova_p,chi2,chi2_p,dof,cramers_v
30332,-0.00989829653622904,0.08473187892699484,-0.01908217761565005,0.00088884649648624,-0.017852253624609717,0.0008875840738769497,CDSEXE,MTREV,quantitatif_quantitatif,,,,,,,,,
30332,-0.03371063506541273,4.292725226674082e-09,-0.021754147948414626,0.00015124700056784308,-0.02056201287754196,0.0001494902893963196,CDSEXE,NBENF,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,CDSEXE,CDSITFAM,quantitatif_qualitatif,4094.42101798795,0.0,0.13467747420804585,647.8750787467095,0.0,,,,
30332,,,,,,,CDSEXE,DTADH,quantitatif_qualitatif,7559.362096451456,0.9952328077966782,0.0,0.9643599257604615,0.9744826703392273,,,,
30332,-0.006568473722556291,0.25265012614566495,-0.0010535280025950253,0.8544246921710259,-0.001012372508080768,0.8544551574785135,CDSEXE,CDTMT,quantitatif_quantitatif,,,,,,,,,
30332,-0.0011708675991378634,0.8384230827040732,-0.002131912090193438,0.7104284477771408,-0.002049147628340394,0.7104219244679695,CDSEXE,CDDEM,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,CDSEXE,DTDEM,quantitatif_qualitatif,1808.8307153790747,0.9403655363050539,0.0,0.9525318201338708,0.9240128431978974,,,,
30332,0.021373130579009796,0.00019715499901318614,0.018151763838235708,0.0015698216160548082,0.015248067472985185,0.0014987257844075316,CDSEXE,ANNEEDEM,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,CDSEXE,CDMOTDEM,quantitatif_qualitatif,38.46150549619038,4.448260357523815e-09,0.0012021993964914893,5.358326906982824,0.004713236479923783,,,,
30332,0.013418513116020861,0.01943978315749305,0.011023914594114545,0.05486882736502261,0.010526018428715748,0.05484809949899129,CDSEXE,CDCATCL,quantitatif_quantitatif,,,,,,,,,
30332,-0.12367394345271725,1.1319616799693107e-103,-0.10664268981680819,2.0018911218962043e-77,-0.0833764795982414,1.5302392578956158e-74,CDSEXE,AGEAD,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,CDSEXE,RANGAGEAD,quantitatif_qualitatif,526.674588889951,1.4719657490559448e-109,0.017137402350941532,116.27995662183287,3.612723613255681e-169,,,,
30332,-0.1585752010142572,5.3490255526979016e-170,-0.1262828680807874,4.805568843163239e-108,-0.09973198611802149,1.5208808593054714e-106,CDSEXE,AGEDEM,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,CDSEXE,RANGAGEDEM,quantitatif_qualitatif,731.1410130618231,1.291768131538187e-150,0.023783549786017055,121.20796017349205,4.0708813445607156e-249,,,,
30332,,,,,,,CDSEXE,RANGDEM,quantitatif_qualitatif,18.976231072134254,0.008262126481560082,0.00039494232529132877,2.5731243505193917,0.011933925771176695,,,,
30332,-0.09599647947686424,5.046774680086383e-63,-0.07778006061459977,6.349906495500284e-42,-0.06227265872596434,6.397756190809589e-42,CDSEXE,ADH,quantitatif_quantitatif,,,,,,,,,
27748,,,,,,,CDSEXE,RANGADH,quantitatif_qualitatif,157.98527106487862,1.5815107887098693e-31,0.005478723588366628,39.748829771895664,1.9277790023696733e-48,,,,
30332,0.029372520630653338,3.1136282400040946e-07,0.4507353339612282,0.0,0.4322253429772171,0.0,MTREV,NBENF,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,MTREV,CDSITFAM,quantitatif_qualitatif,3132.0538730770295,0.0,0.10293713301705243,2.621745009486601,0.002412141993032481,,,,
30332,,,,,,,MTREV,DTADH,quantitatif_qualitatif,8805.201628852836,6.368941877522331e-13,0.04116711041660738,0.7173285442257324,1.0,,,,
30332,0.02288561383253583,6.715813879146958e-05,-0.01954133948479526,0.0006652332325311871,-0.01901635787815637,0.0006658261440286661,MTREV,CDTMT,quantitatif_quantitatif,,,,,,,,,
30332,0.0003704638499470942,0.9485580613140681,0.003991586871792304,0.4869598849870682,0.003884419104173107,0.48695084866694327,MTREV,CDDEM,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,MTREV,DTDEM,quantitatif_qualitatif,3462.6323467873417,1.0386683006724331e-93,0.05482929421983824,1.0633961874931201,0.031279744693754614,,,,
30332,0.004220470392186088,0.46233116782111633,0.15588978254488287,2.7441674660345763e-164,0.1319440079917939,3.7884479364263807e-162,MTREV,ANNEEDEM,quantitatif_quantitatif,,,,,,,,,
30332,,,,,,,MTREV,CDMOTDEM,quantitatif_qualitatif,495.6599907283457,2.3377634440898327e-108,0.016276830450339466,0.7534557588898426,0.47074579614969697,,,,
30332,0.000116504901771007,0.9838122276121178,-0.02548245561286501,9.05527267522234e-06,-0.024631945958394876,9.084369778561859e-06,MTREV,CDCATCL,quantitatif_quantitatif,,,,,,,,,
30332,-0.005569086315731639,0.3321041524961025,-0.03367095884100287,4.475545154798224e-09,-0.026897217982921193,5.87571714164696e-09,MTREV,AGEAD,quantitatif_quantitatif,,,,,,,,,
