table,colonne,n,outliers_iqr_1_5,pct_outliers,min,max
table1,CDSEXE,30332,0,0.0,2.0,4.0
table1,MTREV,30332,3282,10.8203,0.0,1524490.0
table1,NBENF,30332,3315,10.9291,0.0,6.0
table1,CDTMT,30332,1475,4.8629,0.0,6.0
table1,CDDEM,30332,4,0.0132,1.0,2.0
table1,ANNEEDEM,30332,0,0.0,1999.0,2006.0
table1,CDCATCL,30332,1327,4.3749,10.0,40.0
table1,AGEAD,30332,78,0.2572,19.0,89.0
table1,AGEDEM,30332,3,0.0099,19.0,102.0
table1,ADH,30332,0,0.0,0.0,34.0
