n_apparies,kruskal_h,kruskal_p,epsilon2_kruskal,anova_f,anova_p,var1,var2,cas,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,chi2,chi2_p,dof,cramers_v
15022,10953.506907236526,0.00033014613684249303,0.10937309114003194,1.2513982465854234,6.837413124887672e-19,CDSEXE,DTNAIS,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,CDSEXE,MTREV,quantitatif_quantitatif,-0.0383312421382203,2.609567790044549e-06,-0.018543264449936113,0.023041375236584033,-0.01683610712831187,0.019168518585744344,,,,
15022,,,,,,CDSEXE,NBENF,quantitatif_quantitatif,-0.030807335190800655,0.00015907270214759523,-0.01550654542526297,0.0573669445391374,-0.014317241541811888,0.055694025276575056,,,,
15022,1979.820065714497,0.0,0.13116722623014637,314.81392870655395,0.0,CDSEXE,CDSITFAM,quantitatif_qualitatif,,,,,,,,,,
15022,6713.61459004182,0.19044217978381875,0.011966530690035634,1.0212413360175459,0.18259474254697575,CDSEXE,DTADH,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,CDSEXE,CDTMT,quantitatif_quantitatif,0.026187708926140415,0.0013275309187638145,0.036570638976180625,7.346983493572104e-06,0.03504402850992476,6.089952093631386e-06,,,,
827,24.987357819608658,1.553476088565474e-05,0.026716109136827045,7.793226925648791,3.909150221940718e-05,CDSEXE,CDMOTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,CDSEXE,CDCATCL,quantitatif_quantitatif,-0.1885112369107218,3.3408489999614956e-120,-0.08429968305658833,4.198212644076463e-25,-0.078123897861427,3.469655191500541e-25,,,,
15022,,,,,,CDSEXE,BPADH,quantitatif_quantitatif,-0.012771591377887512,0.11751859870800603,0.02596853351561054,0.001457142187881459,0.020260689695082424,0.002074665107835419,,,,
15022,435.0240704871525,0.7632344310528798,0.0,0.9107271802165363,0.9115785160928417,CDSEXE,DTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,10389.471634549447,0.6709634940096815,0.0,1.0766412331787631,0.0017162495792815374,MTREV,DTNAIS,quantitatif_qualitatif,,,,,,,,,,
15022,10474.669581594106,0.44138335561134995,0.004525855396125617,0.9541771685021128,0.969863387535396,NBENF,DTNAIS,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,DTNAIS,CDSITFAM,qualitatif_qualitatif,,,,,,,117301.22313308733,8.738566996856489e-07,114994.0,0.8425410098735208
15022,,,,,,DTNAIS,DTADH,qualitatif_qualitatif,,,,,,,69766956.43198812,0.0,69132302.0,0.8380342116997562
15022,10484.400113716601,0.4150209797643936,0.006656473334048934,0.9746414699685274,0.8482382606391972,CDTMT,DTNAIS,quantitatif_qualitatif,,,,,,,,,,
827,,,,,,DTNAIS,CDMOTDEM,qualitatif_qualitatif,,,,,,,2440.9334828687574,0.450989420201716,2433.0,0.9918924629965885
15022,10954.077174080852,0.00032555336322134256,0.10949795797697663,1.902996944461308,2.234230666618635e-132,CDCATCL,DTNAIS,quantitatif_qualitatif,,,,,,,,,,
15022,10550.549866954523,0.25133837434973555,0.02114076351095318,0.9364661482224051,0.9957441341480527,BPADH,DTNAIS,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,DTNAIS,DTDEM,qualitatif_qualitatif,,,,,,,4949627.54691908,0.0,4777478.0,0.8491106365218938
15022,,,,,,MTREV,NBENF,quantitatif_quantitatif,0.36209239710375246,0.0,0.45932441822556386,0.0,0.4101282504216944,0.0,,,,
15022,3693.557276951835,0.0,0.2453402582912615,292.0931215644567,0.0,MTREV,CDSITFAM,quantitatif_qualitatif,,,,,,,,,,
15022,6708.371480046388,0.20295222731537874,0.011342944819979503,1.052014674878752,0.0144659016611387,MTREV,DTADH,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,MTREV,CDTMT,quantitatif_quantitatif,0.18386934381757225,2.3708128380425233e-114,0.22720299125903085,3.8927316289906693e-175,0.2092701292499234,1.0699590515324693e-170,,,,
827,6.433194132617883,0.09233472469428755,0.00417156030694761,0.6922744564222647,0.5568919585509133,MTREV,CDMOTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,MTREV,CDCATCL,quantitatif_quantitatif,-0.12282069332078427,1.4039122097407043e-51,-0.15294187853745522,2.6900967342177196e-79,-0.1375055961649534,5.644502959112057e-79,,,,
15022,,,,,,MTREV,BPADH,quantitatif_quantitatif,0.07974252524383382,1.263272442872013e-22,0.1445952952879678,5.460956073245305e-71,0.11263446183727245,1.0075503436239457e-69,,,,
15022,291.52636882936173,0.9999999998507321,0.0,1.1167672885685491,0.04518300954444117,MTREV,DTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,2993.0241218595093,0.0,0.19866916201595664,273.9364075079249,0.0,NBENF,CDSITFAM,quantitatif_qualitatif,,,,,,,,,,
15022,6626.245037454361,0.45188946109342004,0.0015752898970458383,0.9595841680596193,0.9618309759945977,NBENF,DTADH,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,NBENF,CDTMT,quantitatif_quantitatif,0.2105395446156413,4.101575119157122e-150,0.25083330887381944,2.922764793737029e-214,0.24046667636423155,1.5423080061686299e-207,,,,
827,5.24235452258354,0.15488695903654073,0.0027246105985219197,1.5909984314807266,0.1900697918992667,NBENF,CDMOTDEM,quantitatif_qualitatif,,,,,,,,,,
