variable,n_table1,n_table2,median_table1,median_table2,mean_table1,mean_table2
CDCATCL,30332,15022,21.0,10.0,21.002934194909667,13.557648781786712
CDSEXE,30332,15022,3.0,3.0,2.6816563365422654,2.65969910797497
CDTMT,30332,15022,0.0,2.0,0.09738889621521825,1.2151511117028357
MTREV,30332,15022,0.0,0.0,289.00121983383883,681.7327253361736
NBENF,30332,15022,0.0,0.0,0.2019978900171436,0.45067234722407135
