composante,variance_expliquee,variance_cumulee
PC1,0.20485676953648616,0.20485676953648616
PC2,0.17958170763640807,0.38443847717289426
PC3,0.14466772489990487,0.5291062020727991
PC4,0.11083459099793479,0.6399407930707339
PC5,0.09090397768110704,0.730844770751841
PC6,0.07096134524748181,0.8018061159993227
PC7,0.07004244126548823,0.8718485572648109
PC8,0.058590402041363135,0.930438959306174
PC9,0.02171778053856878,0.9521567398447428
