ID,CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,BPADH,DTDEM,age_2007,anciennete_adh_ans,MTREV_discrete,cible_churn
12749,4,0,0,C,2,__MANQUANT__,21,10307,31/12/1900,,2.8829568788501025,0,0
12750,3,0,0,V,2,DA,21,16707,11/05/2004,,2.8747433264887063,0,1
12751,2,0,3,M,2,__MANQUANT__,10,14707,31/12/1900,34.81724845995893,2.8747433264887063,0,0
12752,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,38.562628336755644,2.8720054757015743,0,0
12753,3,0,1,M,2,__MANQUANT__,10,14707,31/12/1900,,2.8720054757015743,0,0
12754,3,2776,0,M,2,__MANQUANT__,10,88881,31/12/1900,68.98562628336755,2.8720054757015743,1,0
12755,2,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,,2.869267624914442,0,0
12756,4,0,0,A,2,__MANQUANT__,10,12149,31/12/1900,,2.869267624914442,0,0
12757,3,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.86652977412731,0,0
12758,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,57.57152635181382,2.863791923340178,0,0
12759,2,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,55.98083504449008,2.863791923340178,0,0
12760,4,0,1,C,2,__MANQUANT__,21,10107,31/12/1900,,2.863791923340178,0,0
12761,4,0,0,C,2,__MANQUANT__,10,10107,31/12/1900,,2.863791923340178,0,0
12762,2,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,,2.863791923340178,0,0
12763,4,0,0,C,2,__MANQUANT__,21,10907,31/12/1900,20.908966461327857,2.863791923340178,0,0
12764,3,1520,1,B,0,__MANQUANT__,21,11307,31/12/1900,50.64750171115674,2.855578370978782,0,0
12765,2,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,41.07049965776865,2.855578370978782,0,0
12766,2,0,0,C,2,__MANQUANT__,10,18707,31/12/1900,,2.855578370978782,0,0
12767,2,0,0,C,2,__MANQUANT__,10,10307,31/12/1900,,2.8528405201916494,0,0
12768,2,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.8501026694045173,0,0
