ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_BPADH,z_age_ref,z_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,cat_sitfam,cat_sexe,cat_nbenf,cat_mtrev,cat_age,cat_anc
1,0,-2.2877277858299485,-0.5506112457710796,-0.5109013763616733,-0.7834658778418692,0.024986065562365205,-0.5382587391518783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.22041223759506579,1.8914298854738327,2.594792025265774,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4
3,0,0.4690704492685181,0.6802692846322917,-0.5109013763616733,0.09219272599157437,0.024986065562365205,2.399951946588911,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
4,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.22041223759506579,2.7052578696127756,2.359255735592027,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
5,0,-0.9093286682807151,0.8401868338579266,-0.5109013763616733,-0.22041223759506579,0.024986065562365205,2.358976994420815,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,4
6,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.05889967307530171,2.1090048907438073,2.2653199608937395,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,4
7,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,2.2393970319710665,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
8,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.22041223759506579,2.486249563912827,2.1460187396152026,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,4
9,0,1.8474695668177514,2.9223456313512934,-0.5109013763616733,0.09219272599157437,0.024986065562365205,1.6626815487344015,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,1,0,4
10,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.09219272599157437,0.024986065562365205,1.3772505894137894,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
11,0,0.4690704492685181,0.9863740884530776,-0.5109013763616733,-0.22041223759506579,0.024986065562365205,1.3669371660789627,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,4
12,0,-0.9093286682807151,-0.5506112457710796,2.8900264562993567,-0.22041223759506579,0.024986065562365205,1.3095164848093865,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,4
13,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.290004602824579,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
14,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.22736808627462105,1.2780187324624832,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
15,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.2741163560655215,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
16,0,0.4690704492685181,-0.5506112457710796,1.7563838454123466,-0.22041223759506579,-0.07047174307386811,1.2111208513717147,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,4
17,0,1.8474695668177514,-0.5506112457710796,-0.5109013763616733,-0.22041223759506579,0.48708212418581615,1.1991349810096186,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1,4
18,0,0.4690704492685181,0.8531094640983818,0.6227412345253366,-0.22041223759506579,0.024986065562365205,1.1135614414476775,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,4
19,0,1.8474695668177514,-0.5506112457710796,-0.5109013763616733,-0.22041223759506579,0.30390632923520483,1.0240855254887746,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1,3
20,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.07974000398107772,0.024986065562365205,2.4158401933479685,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
21,0,-0.9093286682807151,2.80361896601711,0.6227412345253366,-0.2568828166801738,0.024986065562365205,1.8530617686718798,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,4
22,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2568828166801738,0.024986065562365205,1.8031670990250148,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
23,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2568828166801738,0.024986065562365205,1.7738992760478038,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
