ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_CDTMT,z_CDCATCL,z_BPADH,z_age_2007,z_anciennete_adh_ans,mm_CDSEXE,mm_MTREV,mm_NBENF,mm_CDTMT,mm_CDCATCL,mm_BPADH,mm_age_2007,mm_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,mot_DA,mot_DC,mot_DV,mot_RA,mot___MANQUANT__
1,0,-2.2877277858299485,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,11.568983173048895,-0.7834658778418692,0.024986065562365205,-0.5382587391518783,0.0,0.0,0.0,0.0,1.0,0.0,0.47317968590658777,0.17132113034341648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.22041223759506579,1.8914298854738327,2.594792025265774,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.12158133360333907,0.639174994901081,0.7928994082840236,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0,0.4690704492685181,0.6802692846322917,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,0.09219272599157437,0.024986065562365205,2.399951946588911,0.6666666666666667,0.03967406867466743,0.0,0.3333333333333333,0.0,0.18908276800882018,0.47317968590658777,0.7542443178676105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.0196357013903061,-0.22041223759506579,2.7052578696127756,2.359255735592027,0.3333333333333333,0.0,0.0,0.0,0.125,0.12158133360333907,0.7115541505200897,0.7461704363214068,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,-0.9093286682807151,0.8401868338579266,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.22041223759506579,0.024986065562365205,2.358976994420815,0.3333333333333333,0.04482857365995887,0.0,0.3333333333333333,0.0,0.12158133360333907,0.47317968590658777,0.7461151357628711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.05889967307530171,2.1090048907438073,2.2653199608937395,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.15645707471283765,0.6585253926167652,0.7275341480948958,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,-0.19436182396284576,0.024986065562365205,2.2393970319710665,0.6666666666666667,0.0,0.0,0.0,0.0,0.12720645313712917,0.47317968590658777,0.722391196151081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.0196357013903061,-0.22041223759506579,2.486249563912827,2.1460187396152026,0.3333333333333333,0.0,0.0,0.0,0.125,0.12158133360333907,0.6920762798286763,0.7038655090416412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,1.8474695668177514,2.9223456313512934,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,0.09219272599157437,0.024986065562365205,1.6626815487344015,1.0,0.11194126988259183,0.0,0.3333333333333333,0.0,0.18908276800882018,0.47317968590658777,0.6079743405408394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.0196357013903061,0.09219272599157437,0.024986065562365205,1.3772505894137894,0.6666666666666667,0.0,0.0,0.0,0.125,0.18908276800882018,0.47317968590658777,0.5513465686003428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
