n,n_non_null,mean,median,std,var,min,max,q25,q50,q75,iqr,colonne,type,n_modalites,mode,effectif_mode
15022,15022,2.65969910797497,3.0,0.7255034289023367,0.5263552253490479,1.0,4.0,2.0,3.0,3.0,1.0,CDSEXE,quantitatif,,,
15022,15022,,,,,,,,,,,DTNAIS,qualitatif,10455.0,0000-00-00,164.0
15022,15022,681.7327253361736,0.0,1238.179246880857,1533087.8474064462,0.0,38413.0,0.0,0.0,1470.0,1470.0,MTREV,quantitatif,,,
15022,15022,0.45067234722407135,0.0,0.8821415819889263,0.7781737706739257,0.0,13.0,0.0,0.0,0.0,0.0,NBENF,quantitatif,,,
15022,15022,,,,,,,,,,,CDSITFAM,qualitatif,12.0,M,4972.0
15022,15022,,,,,,,,,,,DTADH,qualitatif,6614.0,31/12/1971,17.0
15022,15022,1.2151511117028357,2.0,1.0156432920320924,1.0315312966497858,0.0,6.0,0.0,2.0,2.0,2.0,CDTMT,quantitatif,,,
15022,827,,,,,,,,,,,CDMOTDEM,qualitatif,4.0,DV,369.0
15022,15022,13.557648781786712,10.0,7.299272608336375,53.27938061080972,10.0,98.0,10.0,10.0,21.0,11.0,CDCATCL,quantitatif,,,
15022,15022,15037.494008787113,11307.0,19194.192082636444,368417009.7051436,0.0,88887.0,10107.0,11307.0,14907.0,4800.0,BPADH,quantitatif,,,
15022,15022,,,,,,,,,,,DTDEM,qualitatif,458.0,31/12/1900,14474.0
