ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_CDTMT,z_CDCATCL,z_BPADH,z_age_2007,z_anciennete_adh_ans,mm_CDSEXE,mm_MTREV,mm_NBENF,mm_CDTMT,mm_CDCATCL,mm_BPADH,mm_age_2007,mm_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,mot_DA,mot_DC,mot_DV,mot_RA,mot___MANQUANT__
301,0,-0.9093286682807152,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.4874139374180637,-0.1943618239628457,2.4934160660626947,2.4289410283949104,0.3333333333333333,0.0,0.0,0.0,0.0,0.1272064531371291,0.692713644707322,0.7599955759553171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1377,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.4874139374180637,-0.0172190112637496,0.0249860655623652,1.4137656828425005,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.1654572659669018,0.4731796859065877,0.5585909417685119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14267,0,-0.9093286682807152,0.6100024826998158,0.6227412345253366,0.7727860943644208,-0.4874139374180637,-0.2204122375950657,0.0249860655623652,-1.2975496895320997,0.3333333333333333,0.0374092104235545,0.0769230769230769,0.3333333333333333,0.0,0.121581333603339,0.4731796859065877,0.0206824088923298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11869,0,1.8474695668177517,0.0430220808998376,-0.5109013763616733,0.7727860943644208,-0.4874139374180637,0.1442935532560144,-2.31444689624035,-0.942433437408604,1.0,0.0191341472938848,0.0,0.3333333333333333,0.0,0.2003330070764003,0.2651182949214766,0.0911353204667367,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6585,0,1.8474695668177517,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.4874139374180637,0.0400918987271343,0.0249860655623652,-0.0198001606984233,1.0,0.0,0.0,0.3333333333333333,0.0,0.17783252894124,0.4731796859065877,0.2741801692197091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8819,0,-0.9093286682807152,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.567653751866077,-0.7834658778418692,1.0538091141973298,-0.5577706211366857,0.3333333333333333,0.0,0.0,0.0,0.1704545454545454,0.0,0.5646797878849683,0.1674500912459215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10168,1,1.8474695668177517,0.6625006680516656,-0.5109013763616733,-1.1964747554307154,1.019635701390306,-0.2152021548686218,-2.0346666523095265,-0.7219491709802799,1.0,0.0391013458985239,0.0,0.0,0.125,0.122706357510097,0.2900010197838058,0.1348780622684289,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9187,0,-0.9093286682807152,-0.5506112457710796,1.7563838454123466,0.7727860943644208,-0.4874139374180637,-0.2568828166801738,-0.2960732307516943,-0.6132401142077812,0.3333333333333333,0.0,0.1538461538461538,0.3333333333333333,0.0,0.1137061662560329,0.4446257393432592,0.1564452800973289,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5243,0,0.4690704492685181,1.1503299596288548,1.7563838454123466,0.7727860943644208,-0.4874139374180637,-0.2568828166801738,0.0249860655623652,0.3882769139552638,0.6666666666666667,0.0548251893890089,0.1538461538461538,0.3333333333333333,0.0,0.1137061662560329,0.4731796859065877,0.3551401869158879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13751,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.4874139374180637,-0.1631013276041817,0.0249860655623652,-1.2200596439352929,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.1339565965776772,0.4731796859065877,0.036055964165238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1685,0,-0.9093286682807152,1.4927796610009212,1.7563838454123466,0.7727860943644208,-0.4874139374180637,-0.1631013276041817,0.0249860655623652,0.9775357498964484,0.3333333333333333,0.0658631192565017,0.1538461538461538,0.3333333333333333,0.0,0.1339565965776772,0.4731796859065877,0.4720455676602333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11317,0,-0.9093286682807152,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.567653751866077,-0.7834658778418692,0.0249860655623652,-0.8844552737966047,0.3333333333333333,0.0,0.0,0.0,0.1704545454545454,0.0,0.4731796859065877,0.10263783664215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4350,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.019635701390306,-0.7834658778418692,0.6086260006475673,0.6572621441743949,0.6666666666666667,0.0,0.0,0.0,0.125,0.0,0.5250866816234958,0.4085052259027816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9897,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,1.019635701390306,-0.7834658778418692,0.0249860655623652,-0.6887789716061071,0.6666666666666667,0.0,0.0,0.0,0.125,0.0,0.4731796859065877,0.1414588287341702,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,1,1.8474695668177517,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.4874139374180637,-0.7834658778418692,0.0249860655623652,1.8870681915596863,1.0,0.0,0.0,0.0,0.0,0.0,0.4731796859065877,0.6524912901620306,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6579,0,1.8474695668177517,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.4874139374180637,-0.1943618239628457,0.0934978261150979,-0.0195214195272119,1.0,0.0,0.0,0.0,0.0,0.1272064531371291,0.4792728941464409,0.2742354697782447,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8162,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.4874139374180637,0.1495036359824584,0.0249860655623652,-0.4220236707566683,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.2014580309831584,0.4731796859065877,0.1943814632527788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
